"17170432","17301503","IN","India"
"17301504","17367039","CN","China"
"17367040","17432575","MY","Malaysia"
"17432576","17435135","CN","China"
"17435136","17435391","AU","Australia"
"17435392","17465343","CN","China"
"17465344","17498111","TH","Thailand"
"17498112","17563647","KR","Korea, Republic of"
"17563648","17825791","CN","China"
"17825792","17842175","KR","Korea, Republic of"
"17842176","17986559","-","-"
"17986560","17991679","KR","Korea, Republic of"
"17991680","18087935","-","-"
"18087936","18153471","TH","Thailand"
"18153472","18219007","JP","Japan"
"18219008","18350079","IN","India"
"18350080","18874367","CN","China"
"18874368","18907135","MY","Malaysia"
"18907136","18923519","SG","Singapore"
"18923520","18925567","HK","Hong Kong"
"18925568","18926079","SG","Singapore"
"18926080","18926207","TW","Taiwan, Province of China"
"18926208","18926335","SG","Singapore"
"18926336","18926463","TW","Taiwan, Province of China"
"18926464","18926591","SG","Singapore"
"18926592","18926719","TW","Taiwan, Province of China"
"18926720","18926847","SG","Singapore"
"18926848","18927103","HK","Hong Kong"
"18927104","18927615","SG","Singapore"
"18927616","18929663","TW","Taiwan, Province of China"
"18929664","18931711","KR","Korea, Republic of"
"18931712","18933759","JP","Japan"
"18933760","18935807","US","United States"
"18935808","18938879","HK","Hong Kong"
"18938880","18939135","KH","Cambodia"
"18939136","18939903","HK","Hong Kong"
"18939904","18994630","JP","Japan"
"18994631","18994635","BR","Brazil"
"18994636","18994657","JP","Japan"
"18994658","18994662","BR","Brazil"
"18994663","19005439","JP","Japan"
"19005440","19136511","TW","Taiwan, Province of China"
"19136512","19202047","HK","Hong Kong"
"19202048","19267583","PH","Philippines"
"19267584","19398655","IN","India"
"19398656","19726335","AU","Australia"
"19726336","19791871","CN","China"
"19791872","19922943","TH","Thailand"
"19922944","20185087","CN","China"
"20185088","20447231","VN","Viet Nam"